"LADWP Communications","Unlisted","Water and Power service will NOT be shut off during COVID-19 response","Subscribers of Los Angeles Department of Water and Power","4 days ago","To help our customers experiencing financial hardship, LADWP will NOT shut off water and electric service for non-payment. If you receive a disconnect notice in the mail please disregard it! Your water and electric services will NOT be shut off.  Please share this information with friends and neighors who are LADWP customers. Thank you!","0"
"Ruben Garcia","West Adams","Disposable flu mask","General","18 Mar","Amazon says delivery due today. Ordered  additional 100 mask arriving 3/30/20 . I don’t have any more funds to order more mask. Please order on eBay and we can trade later too or you can send here and I can share w group. Also first responder and hospital asking for mask donations. Can we get some more financially able to order some for our Local responders ?","1"
"Carlos Menjivar","West University","Price Gouging is a Crime! Report it!","General","15 Mar","Price Gouging is a Crime! Report it!","1"
"La Tonya Wade-Willis","West University","Unbelievable","General","16 Mar","Tripalink has its construction workers working today on the property located at 3677 Halldale while it is raining","6"
"Alicia Musquiz","Pico-Union West","Calico Cat - Cordova","Lost & Found","15 Mar","Hi Neighbors,

Does this calico cat belong to anyone? I was just checking to see if she had owners before I help her.

Thanks!
Alicia","4"
"Cici Sierra","Adams-Normandie HPOZ","Please help my housekeeper","Recommendations","16 Mar","If anybody is looking for a thorough, experienced trustworthy cleaning lady,my gal is in need of work since many of her clients have cancelled due to the virus. She needs work and is eager to help.  She specializes in disinfecting/sanitizing/organizing. Please text her @ 323 715 1680. Many thanks kind neighbors.","0"
"Melissa Conley","West Adams Hts-Sugar Hill","Preorder items with Wellington Square Farmers Market","General","6 days ago","Wellington Square will have prepaid orders on juice and bakery items. I need orders by 3 pm today for market bakery. Packaged bread and bagels. You can message me for details.  We will have all farmers, Quality Mutt Coffee, Restore Blendz Juices, Brothers Hummus and dips and the market bakery available on Sunday from 9-1. 
Please refrain from coming if you are under the weather. If possible please bring hand sanitizer to use before shopping. We appreciate your support and hope you stay healthy and safe. 
4394 W. Washington Blvd","0"
"Thamara Tenorio","Adams-Normandie HPOZ","Free Meal For Kids","General","17 Mar","Free meals for students starting tomorrow from 7 am-10 am","0"
"Daisy Castaneda","West University","District 12 leadership","General","6 days ago","Hi Neighbors! Has anyone heard from our local leaders, as to what is our protocol for beating the corona virus, dealing with contamination? Will they urge we have a local drive thru for testing? Increased street sanitation? Thanks! :)","0"
"Abraham Jurado","Harvard Heights","property owners putting up murals the community didn't ask for","General","6 days ago","thanks for the ~culture~","0"
"Hope On Union Church","University Park East","Food Bank is open 3/19/2020","General","17 Mar","Greetings and may this message find you well during this time of uncertainty. Food Bank located at 1053 W. 23rd St. is open this coming Thursday, March 17 at 11 am - 1 pm and 3-5 pm or until we run out of food. Precautions will be taken for everyone's safety and protection. We kindly ask you to be please be patient while you wait and bring your own bags or a cart. Call 213-748-0209 or email ","0"
"Thryeris Mason","West Adams","NANDC Helpline","General","17 Mar","Continuing to make a difference . . .","0"
"Melissa Conley","West Adams Hts-Sugar Hill","Wellington Square Famers Market has produce and eggs!","General","15 Mar","Limited quantities but we have some of the necessities!!","0"
"Jessie López","Adams-Normandie HPOZ","Jessie López joined Adams-Normandie HPOZ","Adams-Normandie HPOZ","6 days ago","Raymond Ave","0"
"LAFD CERT Central Bureau Coordinator Carolyn O. Burleson","Unlisted","Public Service Announcement: Emergency Public Health Order","Subscribers of LAFD-CERT in 3 areas","5 days ago","Governor Newsom, LA County Suprviser Barger, and Mayor Garcetti all issued an order for the public to Stay at Home. See ","0"
